Model : -
Time  : 2025-09-03 09:00:07
R Set/Tol : 10.0 Ω  ±0.5 Ω  -> min=9.500, max=10.500
V Set/Tol : 5.0 V  ±0.1 V  -> min=4.9000, max=5.1000

Items  Cell   Pt   min(Ω)   R(Ω)     max(Ω)   min(V)     V(V)       max(V)    
------------------------------------------------------------------------------
1      Cell1  1    9.50     10.09    10.50    4.9000     5.0372     5.1000    
2      Cell2  2    9.50     9.75     10.50    4.9000     4.9514     5.1000    
3      Cell3  3    9.50     9.47     10.50    4.9000     5.1106     5.1000    
4      Cell4  4    9.50     9.71     10.50    4.9000     5.0590     5.1000    
5      Cell5  5    9.50     9.86     10.50    4.9000     4.9665     5.1000    
6      Cell6  6    9.50     10.11    10.50    4.9000     4.9600     5.1000    
7      Cell7  7    9.50     9.50     10.50    4.9000     5.0718     5.1000    
8      Cell8  8    9.50     10.14    10.50    4.9000     5.0038     5.1000    
9      Cell9  9    9.50     10.06    10.50    4.9000     5.0177     5.1000    
10     Cell10 10   9.50     9.99     10.50    4.9000     4.9783     5.1000    
11     Cell11 11   9.50     10.19    10.50    4.9000     5.0365     5.1000    
12     Cell12 12   9.50     10.00    10.50    4.9000     4.9764     5.1000    
13     Cell13 13   9.50     9.72     10.50    4.9000     4.9892     5.1000    
14     Cell14 14   9.50     10.12    10.50    4.9000     4.9521     5.1000    
15     Cell15 15   9.50     10.28    10.50    4.9000     4.9731     5.1000    
16     Cell16 16   9.50     9.99     10.50    4.9000     5.0325     5.1000    
17     Cell17 17   9.50     9.95     10.50    4.9000     4.9453     5.1000    
18     Cell18 18   9.50     9.92     10.50    4.9000     4.9982     5.1000    
19     Cell19 19   9.50     10.08    10.50    4.9000     4.9689     5.1000    
20     Cell20 20   9.50     10.28    10.50    4.9000     5.0543     5.1000    
