Model : -
Time  : 2025-09-03 09:08:15
R Set/Tol : 10.0 mΩ  ±0.5 mΩ  -> min=9.500, max=10.500
V Set/Tol : 5.0 V  ±0.1 V  -> min=4.9000, max=5.1000

Items  Cell   Pt   min(mΩ)  R(mΩ)    max(mΩ)  min(V)     V(V)       max(V)    
------------------------------------------------------------------------------
1      Cell1  1    9.50     9.26     10.50    4.9000     4.9236     5.1000    
2      Cell2  2    9.50     10.13    10.50    4.9000     5.0282     5.1000    
3      Cell3  3    9.50     10.15    10.50    4.9000     4.9908     5.1000    
4      Cell4  4    9.50     10.73    10.50    4.9000     4.8562     5.1000    
5      Cell5  5    9.50     9.81     10.50    4.9000     4.9751     5.1000    
6      Cell6  6    9.50     9.37     10.50    4.9000     4.9131     5.1000    
7      Cell7  7    9.50     9.98     10.50    4.9000     4.9814     5.1000    
8      Cell8  8    9.50     9.82     10.50    4.9000     4.9825     5.1000    
9      Cell9  9    9.50     10.06    10.50    4.9000     4.9924     5.1000    
10     Cell10 10   9.50     10.28    10.50    4.9000     5.0118     5.1000    
11     Cell11 11   9.50     9.64     10.50    4.9000     4.9247     5.1000    
12     Cell12 12   9.50     10.37    10.50    4.9000     4.9235     5.1000    
13     Cell13 13   9.50     9.94     10.50    4.9000     5.0256     5.1000    
14     Cell14 14   9.50     9.34     10.50    4.9000     4.9203     5.1000    
15     Cell15 15   9.50     10.61    10.50    4.9000     4.8776     5.1000    
16     Cell16 16   9.50     9.71     10.50    4.9000     5.0306     5.1000    
17     Cell17 17   9.50     9.79     10.50    4.9000     4.9621     5.1000    
18     Cell18 18   9.50     9.90     10.50    4.9000     5.0306     5.1000    
19     Cell19 19   9.50     9.97     10.50    4.9000     5.0165     5.1000    
20     Cell20 20   9.50     9.87     10.50    4.9000     5.0330     5.1000    
